"Bureau, U.S. Census.ÿ""2011-2015 American Community Survey 5-Year Estimates""",,,,,,
State,ÿ% High school graduate,Rank,ÿ% Bachelor's degree,Rank,ÿ% Advanced degree,Rank
Alabama,84.30%,44,23.50%,44,8.70%,38
Alaska,92.10%,5,28.00%,26,10.10%,27
Arizona,86.00%,35,27.50%,30,10.20%,25
Arkansas,84.80%,43,21.10%,48,7.50%,49
California,81.80%,50,31.40%,14,11.60%,14
Colorado,90.70%,14,38.10%,2,14.00%,7
Connecticut,89.90%,18,37.60%,4,16.60%,3
Delaware,88.40%,27,30.00%,19,12.20%,12
District of Columbia,89.30%,,54.60%,,31.30%,
Florida,86.90%,32,27.30%,31,9.80%,29
Georgia,85.40%,40,28.80%,23,10.70%,20
Hawaii,91.00%,11,30.80%,17,10.50%,21
Idaho,89.50%,22,25.90%,38,8.20%,42
Illinois,87.90%,30,32.30%,12,12.40%,11
Indiana,87.80%,31,24.10%,42,8.70%,38
Iowa,91.50%,9,26.70%,35,8.50%,41
Kansas,90.20%,17,31.00%,16,11.00%,19
Kentucky,84.20%,45,22.30%,47,9.20%,36
Louisiana,83.40%,47,22.50%,46,7.70%,46
Maine,91.60%,8,29.00%,22,10.30%,24
Maryland,89.40%,23,37.90%,3,17.30%,2
Massachusetts,89.80%,19,40.50%,1,17.70%,1
Michigan,89.60%,21,26.90%,34,10.50%,21
Minnesota,92.40%,2,33.70%,10,11.20%,17
Mississippi,82.30%,48,20.70%,49,7.70%,46
Missouri,88.40%,27,27.10%,32,10.20%,25
Montana,91.80%,1,29.50%,20,9.50%,32
Nebraska,90.70%,14,29.30%,21,9.70%,30
Nevada,85.10%,41,23.00%,45,7.90%,45
New Hampshire,92,3,34.90%,8,13.00%,9
New Jersey,88.60%,26,36.80%,5,14.00%,7
New Mexico,84.20%,45,26.30%,36,11.50%,15
New York,85.60%,37,34.20%,9,14.80%,5
North Carolina,85.80%,36,28.40%,25,9.90%,28
North Dakota,91.70%,7,27.70%,28,7.60%,48
Ohio,89.10%,25,26.10%,37,9.70%,30
Oklahoma,86.90%,32,24.10%,42,8.00%,43
Oregon,89.80%,19,30.80%,17,11.50%,15
Pennsylvania,89.20%,24,28.60%,24,11.20%,17
Puerto Rico,73.00%,,,,,
Rhode Island,86.20%,34,31.90%,13,12.80%,10
South Carolina,85.60%,37,25.80%,39,9.30%,35
South Dakota,90.90%,13,27.00%,33,8.00%,43
Tennessee,85.50%,39,24.90%,41,9.00%,37
Texas,81.90%,49,27.60%,29,9.40%,33
Utah,91.20%,10,31.10%,15,10.40%,23
Vermont,91.80%,6,36.00%,7,14.30%,6
Virginia,88.30%,29,36.30%,6,15.40%,4
Washington,90.40%,16,32.90%,11,12.00%,13
West Virginia,85.00%,42,19.20%,50,7.40%,50
Wisconsin,91.00%,11,27.80%,27,9.40%,33
Wyoming,92.30%,3,25.70%,40,8.60%,40
